Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Analyzing Political Parody in Social Media,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.",7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Analyzing Political Parody in Social Media,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).",4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).",5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).",6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Analyzing Political Parody in Social Media,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).",7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Analyzing Political Parody in Social Media,4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.",5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,link
Analyzing Political Parody in Social Media,4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.",6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.",7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Analyzing Political Parody in Social Media,5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.",6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.",7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).",7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,1,By definition a Transformer is invariant with respect to reorderings of the input.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,2,"However, language is inherently sequential and word order is essential to the semantics and syntax of an utterance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,3,"In this paper, we provide an overview of common methods to incorporate position information into Transformer models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,4,"With the rise of pretrained language models (PLMs) (Peters et al. , 2018; Howard & Ruder , 2018; Devlin et al. , 2019; Brown et al. , 2020) Transformer models have become even more popular.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,5,"Without position information the meaning of a sentence is not well-defined (e.g., the sequence``the cat chases the dog""vs. the multi-set {the, the, dog, chases, cat} ).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,6,"Therefore, there is a range of different methods to incorporate position information into NLP models, especially PLMs that are based on Transformer models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,7,"Adding position information can be done by using position embeddings, manipulating attention matrices, or preprocessing the input with a recurrent neural network.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,8,Overall there is a huge variety of methods that add both absolute and relative position information to Transformer model.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,9,"Similarly, many papers analyze and compare a subset of position embedding variants.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,0,Transformers are arguably the main workhorse in recent Natural Language Processing research.,10,The objective of this paper is to provide an overview of methods that incorporate and analyze position information in Transformer models.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,2,"However, language is inherently sequential and word order is essential to the semantics and syntax of an utterance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,3,"In this paper, we provide an overview of common methods to incorporate position information into Transformer models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,4,"With the rise of pretrained language models (PLMs) (Peters et al. , 2018; Howard & Ruder , 2018; Devlin et al. , 2019; Brown et al. , 2020) Transformer models have become even more popular.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,5,"Without position information the meaning of a sentence is not well-defined (e.g., the sequence``the cat chases the dog""vs. the multi-set {the, the, dog, chases, cat} ).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,6,"Therefore, there is a range of different methods to incorporate position information into NLP models, especially PLMs that are based on Transformer models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,7,"Adding position information can be done by using position embeddings, manipulating attention matrices, or preprocessing the input with a recurrent neural network.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,8,Overall there is a huge variety of methods that add both absolute and relative position information to Transformer model.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,9,"Similarly, many papers analyze and compare a subset of position embedding variants.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Work in progress POSITION INFORMATION IN TRANSFORMERS: AN OVERVIEW,1,By definition a Transformer is invariant with respect to reorderings of the input.,10,The objective of this paper is to provide an overview of methods that incorporate and analyze position information in Transformer models.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
